id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
903996,Private Entrance/Steam Room Ensuite,4019426,Colleen,,Logan Square,41.92708,-87.71212,Private room,110,2,145,2020-03-19,1.40,1,136,0,R17000015433
929914,Charming apartment in Old Town,5007980,Lynn,,Lincoln Park,41.91215,-87.64006,Entire home/apt,125,3,364,2021-12-07,3.43,1,183,47,R21000073898
931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,,East Garfield Park,41.88538,-87.69801,Private room,101,3,23,2018-11-02,0.22,1,362,0,R17000015264
949514,Modern Loft-Style Pad in Wicker!,5148353,Steven,,West Town,41.9055,-87.66685,Private room,50,3,133,2020-03-02,1.24,1,0,0,R17000017886
960326,Stay in a Designer Penthouse with Art Gallery,5228189,Matthew,,West Town,41.89602,-87.65659,Entire home/apt,208,1,330,2021-11-28,3.18,17,352,41,2457501
966137,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",5016495,Erika,,Near West Side,41.86801,-87.67877,Entire home/apt,269,2,40,2018-06-05,0.37,1,76,0,city registration pending
979841,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,,Rogers Park,42.00588,-87.66853,Private room,79,2,232,2021-11-25,2.20,4,354,25,R17000015436
979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,,Rogers Park,42.00477,-87.66842,Private room,69,2,267,2021-11-27,2.55,4,346,27,R17000015436
979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,,Rogers Park,42.00378,-87.66807,Private room,69,2,255,2021-11-28,2.41,4,354,22,R17000015436
983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,,Rogers Park,42.00456,-87.67058,Entire home/apt,169,2,202,2021-11-27,1.94,4,322,26,R17000015436
1020810,Beautiful Condo in Chicago,3843347,Andrea,,Near North Side,41.89395,-87.62593,Entire home/apt,113,30,32,2021-09-06,0.30,3,339,2,City registration pending
1027405,Chicago Women's Residence/ Paris Rm,5654677,Urban Art,,North Lawndale,41.85428,-87.70852,Private room,45,2,6,2016-07-31,0.08,4,0,0,R18000034125
